Irányítószám,Település,Megye
8128,Aba,Fejér
8127,Aba,Fejér
5241,Abádszalók,Jász-Nagykun-Szolnok
7678,Abaliget,Baranya
3261,Abasár,Heves
3882,Abaújalpár,Borsod-Abaúj-Zemplén
3882,Abaújkér,Borsod-Abaúj-Zemplén
3815,Abaújlak,Borsod-Abaúj-Zemplén
3881,Abaújszántó,Borsod-Abaúj-Zemplén
3809,Abaújszolnok,Borsod-Abaúj-Zemplén
3898,Abaújvár,Borsod-Abaúj-Zemplén
9151,Abda,Gyõr-Moson-Sopron
3753,Abod,Borsod-Abaúj-Zemplén
2740,Abony,Pest
8256,Ábrahámhegy,Veszprém
2941,Ács,Komárom-Esztergom
2683,Acsa,Pest
9746,Acsád,Vas
9168,Acsalag,Gyõr-Moson-Sopron
2887,Ácsteszér,Komárom-Esztergom
3292,Adács,Heves
8653,Ádánd,Somogy
8561,Adásztevel,Veszprém
2457,Adony,Fejér
8497,Adorjánháza,Veszprém
7841,Adorjás,Baranya
7381,Ág,Baranya
6076,Ágasegyháza,Bács-Kiskun
9423,Ágfalva,Gyõr-Moson-Sopron
3759,Aggtelek,Borsod-Abaúj-Zemplén
9441,Agyagosszergény,Gyõr-Moson-Sopron
4524,Ajak,Szabolcs-Szatmár-Bereg
8447,Ajka,Veszprém
8448,Ajka,Veszprém
8451,Ajka,Veszprém
8400,Ajka,Veszprém
2862,Aka,Komárom-Esztergom
6221,Akasztó,Bács-Kiskun
3779,Alacska,Borsod-Abaúj-Zemplén
7011,Alap,Fejér
5142,Alattyán,Jász-Nagykun-Szolnok
2730,Albertirsa,Pest
8087,Alcsútdoboz,Fejér
3353,Aldebrõ,Heves
6750,Algyõ,Csongrád
8921,Alibánfa,Zala
7934,Almamellék,Baranya
2931,Almásfüzitõ,Komárom-Esztergom
8935,Almásháza,Zala
5747,Almáskamarás,Békés
7932,Almáskeresztúr,Baranya
4285,Álmosd,Hajdú-Bihar
3985,Alsóberecki,Borsod-Abaúj-Zemplén
7443,Alsóbogát,Somogy
3717,Alsódobsza,Borsod-Abaúj-Zemplén
3837,Alsógagy,Borsod-Abaúj-Zemplén
7345,Alsómocsolád,Baranya
7147,Alsónána,Tolna
2351,Alsónémedi,Pest
8924,Alsónemesapáti,Zala
7148,Alsónyék,Tolna
8226,Alsóörs,Veszprém
8394,Alsópáhok,Zala
2617,Alsópetény,Nógrád
8767,Alsórajk,Zala
3989,Alsóregmec,Borsod-Abaúj-Zemplén
8973,Alsószenterzsébet,Zala
7012,Alsószentiván,Fejér
7826,Alsószentmárton,Baranya
9983,Alsószölnök,Vas
3726,Alsószuha,Borsod-Abaúj-Zemplén
3735,Alsótelekes,Borsod-Abaúj-Zemplén
3069,Alsótold,Nógrád
9842,Alsóújlak,Vas
3811,Alsóvadász,Borsod-Abaúj-Zemplén
3571,Alsózsolca,Borsod-Abaúj-Zemplén
6916,Ambrózfalva,Csongrád
4546,Anarcs,Szabolcs-Szatmár-Bereg
8675,Andocs,Somogy
3399,Andornaktálya,Heves
9811,Andrásfa,Vas
2529,Annavölgy,Komárom-Esztergom
8477,Apácatorna,Veszprém
4553,Apagy,Szabolcs-Szatmár-Bereg
2345,Apaj,Pest
7186,Aparhant,Tolna
6931,Apátfalva,Csongrád
9982,Apátistvánfalva,Vas
7720,Apátvarasd,Baranya
3032,Apc,Heves
2338,Áporka,Pest
6088,Apostag,Bács-Kiskun
4634,Aranyosapáti,Szabolcs-Szatmár-Bereg
7671,Aranyosgadány,Baranya
3885,Arka,Borsod-Abaúj-Zemplén
3663,Arló,Borsod-Abaúj-Zemplén
3713,Arnót,Borsod-Abaúj-Zemplén
3467,Ároktõ,Borsod-Abaúj-Zemplén
6623,Árpádhalom,Csongrád
9132,Árpás,Gyõr-Moson-Sopron
4115,Ártánd,Hajdú-Bihar
6783,Ásotthalom,Csongrád
9177,Ásványráró,Gyõr-Moson-Sopron
3841,Aszaló,Borsod-Abaúj-Zemplén
2170,Aszód,Pest
8241,Aszófõ,Veszprém
7763,Áta,Baranya
3371,Átány,Heves
3213,Atkár,Heves
7252,Attala,Tolna
7757,Babarc,Baranya
7814,Babarcszõlõs,Baranya
7584,Babócsa,Somogy
2943,Bábolna,Komárom-Esztergom
8658,Bábonymegyer,Somogy
8983,Babosdöbréte,Zala
9351,Babót,Gyõr-Moson-Sopron
6430,Bácsalmás,Bács-Kiskun
6453,Bácsbokod,Bács-Kiskun
6454,Bácsborsód,Bács-Kiskun
6511,Bácsszentgyörgy,Bács-Kiskun
6425,Bácsszõlõs,Bács-Kiskun
8261,Badacsonytomaj,Veszprém
8257,Badacsonytomaj,Veszprém
8258,Badacsonytomaj,Veszprém
8262,Badacsonytördemic,Veszprém
8263,Badacsonytördemic,Veszprém
2191,Bag,Pest
4286,Bagamér,Hajdú-Bihar
8977,Baglad,Zala
8992,Bagod,Zala
9145,Bágyogszovát,Gyõr-Moson-Sopron
2836,Baj,Komárom-Esztergom
6503,Baja,Bács-Kiskun
6500,Baja,Bács-Kiskun
9944,Bajánsenye,Vas
2525,Bajna,Komárom-Esztergom
2533,Bajót,Komárom-Esztergom
8945,Bak,Zala
7585,Bakháza,Somogy
7393,Bakóca,Baranya
4164,Bakonszeg,Hajdú-Bihar
7675,Bakonya,Baranya
2885,Bakonybánk,Komárom-Esztergom
8427,Bakonybél,Veszprém
8056,Bakonycsernye,Fejér
8433,Bakonygyirót,Veszprém
8581,Bakonyjákó,Veszprém
8571,Bakonykoppány,Veszprém
8045,Bakonykúti,Fejér
8422,Bakonynána,Veszprém
8418,Bakonyoszlop,Veszprém
9088,Bakonypéterd,Gyõr-Moson-Sopron
8457,Bakonypölöske,Veszprém
8557,Bakonyság,Veszprém
2861,Bakonysárkány,Komárom-Esztergom
8557,Bakonyszentiván,Veszprém
8430,Bakonyszentkirály,Veszprém
8431,Bakonyszentlászló,Veszprém
2884,Bakonyszombathely,Komárom-Esztergom
8572,Bakonyszücs,Veszprém
8555,Bakonytamási,Veszprém
6768,Baks,Csongrád
7834,Baksa,Baranya
3836,Baktakék,Borsod-Abaúj-Zemplén
4561,Baktalórántháza,Szabolcs-Szatmár-Bereg
8946,Baktüttös,Zala
3780,Balajt,Borsod-Abaúj-Zemplén
2660,Balassagyarmat,Nógrád
6764,Balástya,Csongrád
3347,Balaton,Heves
8243,Balatonakali,Veszprém
8220,Balatonalmádi,Veszprém
8649,Balatonberény,Somogy
8691,Balatonboglár,Somogy
8630,Balatonboglár,Somogy
8272,Balatoncsicsó,Veszprém
8312,Balatonederics,Veszprém
8613,Balatonendréd,Somogy
8646,Balatonfenyves,Somogy
8164,Balatonfõkajár,Veszprém
8623,Balatonföldvár,Somogy
8236,Balatonfüred,Veszprém
8230,Balatonfüred,Veszprém
8184,Balatonfûzfõ,Veszprém
8175,Balatonfûzfõ,Veszprém
8313,Balatongyörök,Zala
8275,Balatonhenye,Veszprém
8172,Balatonkenese,Veszprém
8174,Balatonkenese,Veszprém
8648,Balatonkeresztúr,Somogy
8638,Balatonlelle,Somogy
8753,Balatonmagyaród,Zala
8647,Balatonmáriafürdõ,Somogy
8637,Balatonõszöd,Somogy
8255,Balatonrendes,Veszprém
8651,Balatonszabadi,Somogy
8624,Balatonszárszó,Somogy
8636,Balatonszemes,Somogy
8710,Balatonszentgyörgy,Somogy
8252,Balatonszepezd,Veszprém
8233,Balatonszõlõs,Veszprém
8242,Balatonudvari,Veszprém
8712,Balatonújlak,Somogy
8171,Balatonvilágos,Veszprém
8054,Balinka,Fejér
8055,Balinka,Fejér
4233,Balkány,Szabolcs-Szatmár-Bereg
6035,Ballószög,Bács-Kiskun
4060,Balmazújváros,Hajdú-Bihar
9771,Balogunyom,Vas
6412,Balotaszállás,Bács-Kiskun
4468,Balsa,Szabolcs-Szatmár-Bereg
8614,Bálványos,Somogy
2944,Bana,Komárom-Esztergom
8443,Bánd,Veszprém
7914,Bánfa,Baranya
3642,Bánhorváti,Borsod-Abaúj-Zemplén
2653,Bánk,Nógrád
8891,Bánokszentgyörgy,Zala
3654,Bánréve,Borsod-Abaúj-Zemplén
7711,Bár,Baranya
4937,Barabás,Szabolcs-Szatmár-Bereg
2427,Baracs,Fejér
2426,Baracs,Fejér
2471,Baracska,Fejér
4161,Báránd,Hajdú-Bihar
7841,Baranyahidvég,Baranya
7384,Baranyajenõ,Baranya
7383,Baranyaszentgyörgy,Baranya
9169,Barbacs,Gyõr-Moson-Sopron
7557,Barcs,Somogy
7570,Barcs,Somogy
7478,Bárdudvarnok,Somogy
8948,Barlahida,Zala
3126,Bárna,Nógrád
8291,Barnag,Veszprém
2883,Bársonyos,Komárom-Esztergom
7923,Basal,Baranya
3881,Baskó,Borsod-Abaúj-Zemplén
7149,Báta,Tolna
7164,Bátaapáti,Tolna
7140,Bátaszék,Tolna
7258,Baté,Somogy
6528,Bátmonostor,Bács-Kiskun
3078,Bátonyterenye,Nógrád
3070,Bátonyterenye,Nógrád
3151,Bátonyterenye,Nógrád
3336,Bátor,Heves
4343,Bátorliget,Szabolcs-Szatmár-Bereg
5830,Battonya,Békés
6351,Bátya,Bács-Kiskun
8797,Batyk,Zala
8887,Bázakerettye,Zala
8352,Bazsi,Veszprém
8565,Béb,Veszprém
8866,Becsehely,Zala
2693,Becske,Nógrád
3768,Becskeháza,Borsod-Abaúj-Zemplén
8985,Becsvölgye,Zala
8666,Bedegkér,Somogy
4128,Bedõ,Hajdú-Bihar
9683,Bejcgyertyános,Vas
8515,Békás,Veszprém
3903,Bekecs,Borsod-Abaúj-Zemplén
5630,Békés,Békés
5623,Békéscsaba,Békés
5671,Békéscsaba,Békés
5600,Békéscsaba,Békés
5946,Békéssámson,Békés
5561,Békésszentandrás,Békés
3343,Bekölce,Heves
3346,Bélapátfalva,Heves
7589,Bélavár,Somogy
7061,Belecska,Tolna
9343,Beled,Gyõr-Moson-Sopron
7543,Beleg,Somogy
8855,Belezna,Zala
5643,Bélmegyer,Békés
2455,Beloiannisz,Fejér
8978,Belsõsárd,Zala
7747,Belvárdgyula,Baranya
4643,Benk,Szabolcs-Szatmár-Bereg
2216,Bénye,Pest
3045,Bér,Nógrád
9831,Bérbaltavár,Vas
2687,Bercel,Nógrád
4934,Beregdaróc,Szabolcs-Szatmár-Bereg
4933,Beregsurány,Szabolcs-Szatmár-Bereg
4116,Berekböszörmény,Hajdú-Bihar
5309,Berekfürdõ,Jász-Nagykun-Szolnok
7827,Beremend,Baranya
3704,Berente,Borsod-Abaúj-Zemplén
3834,Beret,Borsod-Abaúj-Zemplén
4103,Berettyóújfalu,Hajdú-Bihar
4100,Berettyóújfalu,Hajdú-Bihar
8182,Berhida,Veszprém
8181,Berhida,Veszprém
2641,Berkenye,Nógrád
7664,Berkesd,Baranya
4521,Berkesz,Szabolcs-Szatmár-Bereg
2639,Bernecebaráti,Pest
3575,Berzék,Borsod-Abaúj-Zemplén
7516,Berzence,Somogy
7838,Besence,Baranya
4557,Besenyõd,Szabolcs-Szatmár-Bereg
3373,Besenyõtelek,Heves
5071,Besenyszög,Jász-Nagykun-Szolnok
2456,Besnyõ,Fejér
4488,Beszterec,Szabolcs-Szatmár-Bereg
7782,Bezedek,Baranya
9223,Bezenye,Gyõr-Moson-Sopron
8934,Bezeréd,Zala
9162,Bezi,Gyõr-Moson-Sopron
2051,Biatorbágy,Pest
7671,Bicsérd,Baranya
2060,Bicske,Fejér
4175,Bihardancsháza,Hajdú-Bihar
4110,Biharkeresztes,Hajdú-Bihar
4172,Biharnagybajom,Hajdú-Bihar
4174,Bihartorda,Hajdú-Bihar
5538,Biharugra,Békés
7043,Bikács,Tolna
7346,Bikal,Baranya
4235,Biri,Szabolcs-Szatmár-Bereg
7747,Birján,Baranya
7811,Bisse,Baranya
9625,Bõ,Vas
9542,Boba,Zala
8943,Bocfölde,Heves
3368,Boconád,Bács-Kiskun
3574,Bõcs,Zala
6235,Bócsa,Hajdú-Bihar
8776,Bocska,Baranya
4241,Bocskaikert,Fejér
7672,Boda,Fejér
8053,Bodajk,Baranya
8991,Böde,Gyõr-Moson-Sopron
8969,Bödeháza,Heves
8085,Bodmér,Veszprém
7394,Bodolyabér,Somogy
9134,Bodonhely,Borsod-Abaúj-Zemplén
3243,Bodony,Borsod-Abaúj-Zemplén
8471,Bodorfa,Borsod-Abaúj-Zemplén
7439,Bodrog,Borsod-Abaúj-Zemplén
3987,Bodroghalom,Borsod-Abaúj-Zemplén
3916,Bodrogkeresztúr,Borsod-Abaúj-Zemplén
3917,Bodrogkisfalud,Borsod-Abaúj-Zemplén
3943,Bodrogolaszi,Borsod-Abaúj-Zemplén
3768,Bódvalenke,Baranya
3764,Bódvarákó,Baranya
3763,Bódvaszilas,Baranya
3412,Bogács,Tolna
7742,Bogád,Gyõr-Moson-Sopron
7836,Bogádmindszent,Hajdú-Bihar
7966,Bogdása,Zala
9612,Bögöt,Komárom-Esztergom
9675,Bögöte,Nógrád
7132,Bogyiszló,Heves
9324,Bogyoszló,Baranya
8719,Böhönye,Borsod-Abaúj-Zemplén
4114,Bojt,Borsod-Abaúj-Zemplén
8741,Bókaháza,Borsod-Abaúj-Zemplén
2855,Bokod,Somogy
4231,Bököny,Somogy
3066,Bokor,Baranya
7025,Bölcske,Zala
3016,Boldog,Somogy
7937,Boldogasszonyfa,Tolna
3884,Boldogkõújfalu,Tolna
3885,Boldogkõváralja,Tolna
3794,Boldva,Csongrád
7517,Bolhás,Vas
7586,Bolhó,Baranya
7754,Bóly,Bács-Kiskun
8992,Boncodfölde,Zala
7281,Bonnya,Borsod-Abaúj-Zemplén
9073,Bõny,Borsod-Abaúj-Zemplén
7187,Bonyhád,Borsod-Abaúj-Zemplén
7150,Bonyhád,Borsod-Abaúj-Zemplén
7158,Bonyhádvarasd,Borsod-Abaúj-Zemplén
9152,Börcs,Borsod-Abaúj-Zemplén
6795,Bordány,Borsod-Abaúj-Zemplén
9554,Borgáta,Nógrád
7756,Borjád,Veszprém
6445,Borota,Veszprém
8885,Borsfa,Baranya
3658,Borsodbóta,Szabolcs-Szatmár-Bereg
3426,Borsodgeszt,Baranya
3462,Borsodivánka,Vas
3672,Borsodnádasd,Vas
3671,Borsodnádasd,Borsod-Abaúj-Zemplén
3623,Borsodszentgyörgy,Vas
3796,Borsodszirák,Borsod-Abaúj-Zemplén
2644,Borsosberény,Zala
8479,Borszörcsök,Zala
8428,Borzavár,Vas
8772,Börzönce,Vas
9167,Bõsárkány,Somogy
7811,Bosta,Szabolcs-Szatmár-Bereg
7475,Bõszénfa,Tolna
4955,Botpalád,Gyõr-Moson-Sopron
7900,Botykapeterd,Gyõr-Moson-Sopron
9727,Bozsok,Zala
3994,Bózsva,Gyõr-Moson-Sopron
9752,Bozzai,Somogy
5527,Bucsa,Békés
9792,Bucsu,Vas
8925,Bucsuszentlászló,Zala
8893,Bucsuta,Zala
2093,Budajenõ,Pest
2011,Budakalász,Pest
2092,Budakeszi,Pest
2040,Budaörs,Pest
6114,Bugac,Bács-Kiskun
6114,Bugacpusztaháza,Bács-Kiskun
2347,Bugyi,Pest
4483,Buj,Szabolcs-Szatmár-Bereg
3047,Buják,Nógrád
9740,Bük,Somogy
9737,Bük,Vas
3422,Bükkábrány,Vas
3554,Bükkaranyos,Borsod-Abaúj-Zemplén
3648,Bükkmogyorósd,Borsod-Abaúj-Zemplén
7682,Bükkösd,Borsod-Abaúj-Zemplén
3335,Bükkszék,Baranya
3257,Bükkszenterzsébet,Heves
3557,Bükkszentkereszt,Heves
3346,Bükkszentmárton,Borsod-Abaúj-Zemplén
3414,Bükkzsérc,Heves
7973,Bürüs,Borsod-Abaúj-Zemplén
7273,Büssü,Baranya
3821,Büttös,Somogy
8695,Buzsák,Borsod-Abaúj-Zemplén
9725,Cák,Vas
9165,Cakóháza,Gyõr-Moson-Sopron
7013,Cece,Fejér
4732,Cégénydányád,Szabolcs-Szatmár-Bereg
2738,Cegléd,Pest
2700,Cegléd,Pest
2737,Ceglédbercel,Pest
9541,Celldömölk,Vas
9500,Celldömölk,Vas
3123,Cered,Nógrád
9624,Chernelházadamonya,Vas
5462,Cibakháza,Jász-Nagykun-Szolnok
3973,Cigánd,Borsod-Abaúj-Zemplén
7161,Cikó,Tolna
9364,Cirák,Gyõr-Moson-Sopron
5551,Csabacsûd,Békés
5609,Csabaszabadi,Békés
2064,Csabdi,Fejér
8474,Csabrendek,Veszprém
9375,Csáfordjánosfa,Gyõr-Moson-Sopron
4967,Csaholc,Szabolcs-Szatmár-Bereg
8163,Csajág,Veszprém
8735,Csákány,Somogy
9919,Csákánydoroszló,Vas
8073,Csákberény,Fejér
8083,Csákvár,Fejér
6915,Csanádalberti,Csongrád
5662,Csanádapáca,Békés
6913,Csanádpalota,Csongrád
9654,Csánig,Vas
3015,Csány,Heves
7964,Csányoszró,Baranya
6647,Csanytelek,Csongrád
8756,Csapi,Zala
9372,Csapod,Gyõr-Moson-Sopron
5621,Csárdaszállás,Békés
7811,Csarnóta,Baranya
4844,Csaroda,Szabolcs-Szatmár-Bereg
2858,Császár,Komárom-Esztergom
6239,Császártöltés,Bács-Kiskun
4973,Császló,Szabolcs-Szatmár-Bereg
6523,Csátalja,Bács-Kiskun
8943,Csatár,Zala
5064,Csataszög,Jász-Nagykun-Szolnok
2888,Csatka,Komárom-Esztergom
6448,Csávoly,Bács-Kiskun
7935,Csebény,Baranya
3052,Csécse,Nógrád
4742,Csegöld,Szabolcs-Szatmár-Bereg
8445,Csehbánya,Veszprém
9833,Csehi,Vas
9834,Csehimindszent,Vas
2949,Csém,Komárom-Esztergom
2713,Csemõ,Pest
9764,Csempeszkopács,Vas
6765,Csengele,Csongrád
4765,Csenger,Szabolcs-Szatmár-Bereg
4743,Csengersima,Szabolcs-Szatmár-Bereg
4764,Csengerújfalu,Szabolcs-Szatmár-Bereg
6222,Csengõd,Bács-Kiskun
9611,Csénye,Vas
3837,Csenyéte,Borsod-Abaúj-Zemplén
2946,Csép,Komárom-Esztergom
5475,Csépa,Jász-Nagykun-Szolnok
9735,Csepreg,Vas
9375,Csér,Gyõr-Moson-Sopron
7683,Cserdi,Baranya
7472,Cserénfa,Somogy
3413,Cserépfalu,Borsod-Abaúj-Zemplén
3417,Cserépváralja,Borsod-Abaúj-Zemplén
2694,Cserháthaláp,Nógrád
2676,Cserhátsurány,Nógrád
3066,Cserhátszentiván,Nógrád
5465,Cserkeszõlõ,Jász-Nagykun-Szolnok
7673,Cserkút,Baranya
3648,Csernely,Borsod-Abaúj-Zemplén
8372,Cserszegtomaj,Zala
8951,Csertalakos,Zala
7900,Csertõ,Baranya
8419,Csesznek,Veszprém
8973,Csesztreg,Zala
2678,Csesztve,Nógrád
8417,Csetény,Veszprém
2212,Csévharaszt,Pest
7225,Csibrák,Tolna
6424,Csikéria,Bács-Kiskun
7341,Csikóstõttõs,Tolna
9127,Csikvánd,Gyõr-Moson-Sopron
3442,Csincse,Borsod-Abaúj-Zemplén
9836,Csipkerek,Vas
2673,Csitár,Nógrád
3848,Csobád,Borsod-Abaúj-Zemplén
3927,Csobaj,Borsod-Abaúj-Zemplén
2014,Csobánka,Pest
8999,Csöde,Fejér
8495,Csögle,Somogy
8074,Csókakõ,Borsod-Abaúj-Zemplén
4145,Csökmõ,Komárom-Esztergom
7526,Csököly,Bács-Kiskun
7555,Csokonyavisonta,Somogy
3647,Csokvaomány,Pest
2521,Csolnok,Somogy
6135,Csólyospálos,Csongrád
7253,Csoma,Csongrád
2161,Csomád,Zala
7432,Csombárd,Baranya
8700,Csömend,Veszprém
8957,Csömödér,Fejér
2141,Csömör,Gyõr-Moson-Sopron
9513,Csönge,Békés
6648,Csongrád,Veszprém
6640,Csongrád,Zala
8918,Csonkahegyhát,Veszprém
7940,Csonkamindszent,Hajdú-Bihar
8229,Csopak,Somogy
8041,Csór,Somogy
9300,Csorna,Zala
8873,Csörnyeföld,Pest
9962,Csörötnek,Vas
5920,Csorvás,Zala
8122,Csõsz,Vas
8558,Csót,Fejér
2615,Csõvár,Pest
8840,Csurgó,Somogy
8840,Csurgónagymarton,Somogy
7843,Cún,Baranya
2373,Dabas,Pest
2371,Dabas,Pest
2370,Dabas,Pest
8345,Dabronc,Veszprém
8485,Dabrony,Veszprém
2854,Dad,Komárom-Esztergom
2522,Dág,Komárom-Esztergom
8592,Dáka,Veszprém
7211,Dalmand,Tolna
3780,Damak,Borsod-Abaúj-Zemplén
3978,Dámóc,Borsod-Abaúj-Zemplén
2735,Dánszentmiklós,Pest
2118,Dány,Pest
9917,Daraboshegy,Vas
7988,Darány,Somogy
4737,Darnó,Szabolcs-Szatmár-Bereg
9232,Darnózseli,Gyõr-Moson-Sopron
4144,Darvas,Hajdú-Bihar
6524,Dávod,Bács-Kiskun
2694,Debercsény,Nógrád
4079,Debrecen,Hajdú-Bihar
4078,Debrecen,Hajdú-Bihar
4225,Debrecen,Hajdú-Bihar
4063,Debrecen,Hajdú-Bihar
4000,Debrecen,Hajdú-Bihar
4002,Debrecen,Hajdú-Bihar
4024,Debrecen,Hajdú-Bihar
4025,Debrecen,Hajdú-Bihar
4026,Debrecen,Hajdú-Bihar
4027,Debrecen,Hajdú-Bihar
4028,Debrecen,Hajdú-Bihar
4029,Debrecen,Hajdú-Bihar
4030,Debrecen,Hajdú-Bihar
4031,Debrecen,Hajdú-Bihar
4032,Debrecen,Hajdú-Bihar
4033,Debrecen,Hajdú-Bihar
4034,Debrecen,Hajdú-Bihar
3825,Debréte,Borsod-Abaúj-Zemplén
7144,Decs,Tolna
3643,Dédestapolcsány,Borsod-Abaúj-Zemplén
8135,Dég,Fejér
2649,Dejtár,Nógrád
2337,Délegyháza,Pest
4516,Demecser,Szabolcs-Szatmár-Bereg
3395,Demjén,Heves
7915,Dencsháza,Baranya
9365,Dénesfa,Gyõr-Moson-Sopron
4130,Derecske,Hajdú-Bihar
6621,Derekegyház,Csongrád
6772,Deszk,Csongrád
3834,Detek,Borsod-Abaúj-Zemplén
3275,Detk,Heves
5510,Dévaványa,Békés
8460,Devecser,Veszprém
7683,Dinnyeberki,Baranya
7072,Diósberény,Tolna
2049,Diósd,Pest
2643,Diósjenõ,Nógrád
8764,Dióskál,Zala
7817,Diósviszló,Baranya
8482,Doba,Veszprém
9914,Döbörhegy,Békés
5624,Doboz,Zala
8874,Dobri,Zala
8357,Döbröce,Csongrád
7228,Döbrököz,Borsod-Abaúj-Zemplén
8989,Dobronhegy,Csongrád
8597,Döbrönte,Békés
6766,Dóc,Békés
4495,Döge,Tolna
3627,Domaháza,Szabolcs-Szatmár-Bereg
6781,Domaszék,Pest
5836,Dombegyház,Heves
5745,Dombiratos,Heves
7200,Dombóvár,Komárom-Esztergom
4492,Dombrád,Nógrád
2182,Domony,Vas
2027,Dömös,Vas
3263,Domoszló,Zala
2344,Dömsöd,Tolna
9147,Dör,Veszprém
8244,Dörgicse,Szabolcs-Szatmár-Bereg
3374,Dormánd,Komárom-Esztergom
2510,Dorog,Pest
3153,Dorogháza,Gyõr-Moson-Sopron
9913,Döröske,Veszprém
8799,Dötk,Vas
3721,Dövény,Zala
9791,Dozmat,Borsod-Abaúj-Zemplén
6342,Drágszél,Bács-Kiskun
7849,Drávacsehi,Baranya
7846,Drávacsepely,Baranya
7967,Drávafok,Baranya
7977,Drávagárdony,Somogy
7960,Drávaiványi,Baranya
7967,Drávakeresztúr,Baranya
7850,Drávapalkonya,Baranya
7843,Drávapiski,Baranya
7851,Drávaszabolcs,Baranya
7847,Drávaszerdahely,Baranya
7960,Drávasztára,Baranya
7979,Drávatamási,Somogy
2646,Drégelypalánk,Nógrád
3635,Dubicsány,Borsod-Abaúj-Zemplén
8416,Dudar,Veszprém
9556,Duka,Vas
2545,Dunaalmás,Komárom-Esztergom
2023,Dunabogdány,Pest
6323,Dunaegyháza,Bács-Kiskun
6513,Dunafalva,Bács-Kiskun
7020,Dunaföldvár,Tolna
2330,Dunaharaszti,Pest
2120,Dunakeszi,Pest
9225,Dunakiliti,Gyõr-Moson-Sopron
6328,Dunapataj,Bács-Kiskun
9235,Dunaremete,Gyõr-Moson-Sopron
9174,Dunaszeg,Gyõr-Moson-Sopron
7712,Dunaszekcsõ,Baranya
6333,Dunaszentbenedek,Bács-Kiskun
7135,Dunaszentgyörgy,Tolna
2897,Dunaszentmiklós,Komárom-Esztergom
9175,Dunaszentpál,Gyõr-Moson-Sopron
9226,Dunasziget,Gyõr-Moson-Sopron
6325,Dunatetétlen,Bács-Kiskun
2407,Dunaújváros,Fejér
2400,Dunaújváros,Fejér
2336,Dunavarsány,Pest
6087,Dunavecse,Bács-Kiskun
6353,Dusnok,Bács-Kiskun
7224,Dúzs,Tolna
